"block_number","trial_number","trial_type","event_type","experiment_start_timestamp","block_start_timestamp","trial_start_timestamp","event_start_timestamp","video_display_request_timestamp","response_touch_timestamp","trial_offset","event_offset","response_time","response","response_accuracy"
"0","26","4","Feedback","1647916111846","1647916116912","1647916158642","1647916159499","1647916159499",".","41730","857",".",".","."
"0","27","6","Fixation","1647916111846","1647916116912","1647916160002","1647916160002","1647916160002",".","43090","0",".",".","."
"0","27","6","Stimulus","1647916111846","1647916116912","1647916160002","1647916160505","1647916160505",".","43090","503",".",".","."
"0","27","6","Response",".",".",".",".",".","1647916161073","43090",".","568","R","1"
"0","27","6","Feedback","1647916111846","1647916116912","1647916160002","1647916161075","1647916161075",".","43090","1073",".",".","."
"0","28","1","Fixation","1647916111846","1647916116912","1647916161577","1647916161577","1647916161577",".","44665","0",".",".","."
"0","28","1","Stimulus","1647916111846","1647916116912","1647916161577","1647916162080","1647916162080",".","44665","503",".",".","."
"0","28","1","Response",".",".",".",".",".","1647916162607","44665",".","527","L","1"
"0","28","1","Feedback","1647916111846","1647916116912","1647916161577","1647916162609","1647916162609",".","44665","1032",".",".","."
"0","29","3","Fixation","1647916111846","1647916116912","1647916163112","1647916163112","1647916163112",".","46200","0",".",".","."
"0","29","3","Stimulus","1647916111846","1647916116912","1647916163112","1647916163615","1647916163615",".","46200","503",".",".","."
"0","29","3","Response",".",".",".",".",".","1647916164158","46200",".","542.9999999999927","L","1"
"0","29","3","Feedback","1647916111846","1647916116912","1647916163112","1647916164160","1647916164160",".","46200","1048",".",".","."
"0","30","5","Fixation","1647916111846","1647916116912","1647916164663","1647916164663","1647916164663",".","47751","0",".",".","."
"0","30","5","Stimulus","1647916111846","1647916116912","1647916164663","1647916165165","1647916165166",".","47751","502",".",".","."
"0","30","5","Response",".",".",".",".",".","1647916165727","47751",".","561","L","1"
"0","30","5","Feedback","1647916111846","1647916116912","1647916164663","1647916165728","1647916165728",".","47751","1065",".",".","."
